From;To;Distance;Duration;Indice
3423909;3423909;0.00;0:00;3423909-3423909
3423909;3403208;207.27;2:16;3423909-3403208
3423909;3424402;176.73;2:00;3423909-3424402
3423909;2301;59.80;0:45;3423909-2301
3423909;2302;58.21;0:49;3423909-2302
3423909;2303;58.45;0:49;3423909-2303
3423909;2304;69.89;0:49;3423909-2304
3423909;2305;71.63;0:51;3423909-2305
3423909;2306;60.78;0:45;3423909-2306
3423909;2307;51.38;0:40;3423909-2307
3423909;2308;72.84;0:54;3423909-2308
3423909;2309;85.74;1:00;3423909-2309
3423909;2310;102.00;1:21;3423909-2310
3423909;2311;71.79;0:50;3423909-2311
3423909;2312;174.41;2:02;3423909-2312
3423909;2313;187.78;2:08;3423909-2313
3423909;2314;184.15;2:04;3423909-2314
3423909;2315;187.95;2:11;3423909-2315
3423909;2316;186.44;2:10;3423909-2316
3423909;2317;188.26;2:08;3423909-2317
3423909;2318;196.49;2:14;3423909-2318
3423909;2319;96.05;1:07;3423909-2319
3423909;2320;91.48;1:04;3423909-2320
3423909;2321;92.09;1:06;3423909-2321
3423909;2322;96.79;1:09;3423909-2322
3423909;2323;99.37;1:14;3423909-2323
3423909;2324;101.02;1:16;3423909-2324
3423909;2325;106.17;1:15;3423909-2325
3423909;2326;91.91;1:03;3423909-2326
3423909;2327;107.49;1:16;3423909-2327
3423909;2328;108.47;1:26;3423909-2328
3423909;2329;116.52;1:34;3423909-2329
3423909;2330;161.45;1:48;3423909-2330
3423909;2331;88.34;1:06;3423909-2331
3423909;2332;95.27;1:10;3423909-2332
3423909;2333;117.42;1:27;3423909-2333
3423909;2334;85.96;1:04;3423909-2334
3423909;2335;84.84;1:01;3423909-2335
3423909;2336;168.82;1:55;3423909-2336
3423909;2337;167.04;1:53;3423909-2337
3423909;2338;164.79;1:49;3423909-2338
3423909;2339;231.43;2:39;3423909-2339
3423909;2340;235.12;2:44;3423909-2340
3423909;2341;214.84;2:30;3423909-2341
3423909;2342;208.08;2:20;3423909-2342
3423909;2343;239.86;2:44;3423909-2343
3423909;2344;43.03;0:40;3423909-2344
3423909;2345;45.73;0:45;3423909-2345
3423909;2346;39.84;0:37;3423909-2346
3423909;2347;263.41;2:42;3423909-2347
3423909;2348;278.15;2:53;3423909-2348
3423909;2349;267.25;2:47;3423909-2349
3423909;2350;252.79;2:38;3423909-2350
3423909;2351;250.38;2:37;3423909-2351
3403208;3423909;206.87;2:17;3403208-3423909
3403208;3403208;0.00;0:00;3403208-3403208
3403208;3424402;320.05;3:22;3403208-3424402
3403208;2301;193.41;2:09;3403208-2301
3403208;2302;183.49;2:04;3403208-2302
3403208;2303;187.61;2:10;3403208-2303
3403208;2304;179.27;1:58;3403208-2304
